分类	星级	待确认	年份	标题	期刊	被引	DOI	原文件	理由
02-交通流分配	**		2025	Multi-objective planning of charging stations and shunt capacitors considering Driving Range-based Traffic Flow in distribution networks	Journal of Energy Storage	6	10.1016/j.est.2025.118585	Multi-objective-planning-of-charging-stations-and-shunt-capa_2025_Journal-of.pdf	基于续航里程的交通流建模，充电站与并联电容协同
02-交通流分配	**		2025	Predicting electric vehicle charging demand to support public charging infrastructure location planning	Transportation Research Interdisciplinary Perspectives	1	10.1016/j.trip.2025.101639	Predicting-electric-vehicle-charging-demand-to_2025_Transportation-Research-.pdf	充电需求预测支撑公共充电设施选址
02-交通流分配	**		2025	Charging scheduling and route planning for modular bus systems considering non-linear charging profile	Transportation Research Part C: Emerging Technologies	7	10.1016/j.trc.2025.105292	Charging-scheduling-and-route-planning-for-modu_2025_Transportation-Research.pdf	模块化公交的充电调度与路径规划，非线性充电曲线
02-交通流分配	**		2025	From spatiotemporal charging patterns to localized supply-demand planning for electric vehicle infrastructure	Transportation Research Part D: Transport and Environment	4	10.1016/j.trd.2025.105058	From-spatiotemporal-charging-patterns-to-local_2025_Transportation-Research-.pdf	时空充电模式 → 局部供需规划
02-交通流分配	**		2025	Spatiotemporal planning of electric vehicle charging infrastructure: Demand estimation and grid-aware optimization under uncertainty	iScience	12	10.1016/j.isci.2025.113368	Spatiotemporal-planning-of-electric-vehicle-charging-infrastructur_2025_iSci.pdf	充电设施时空规划：需求估计 + 电网感知优化
02-交通流分配	**		2025	Planning fast-charging stations along highways using probability distribution functions and traffic data	Sustainable Energy Technologies and Assessments	3	10.1016/j.seta.2025.104547	Planning-fast-charging-stations-along-highways-us_2025_Sustainable-Energy-Te.pdf	用交通数据与概率分布函数规划高速快充站
暂缓	**		2026	Joint optimization of electric bus infrastructure planning, fleet composition, and charging schedule with multiple charging modes	Expert Systems with Applications	4	10.1016/j.eswa.2025.129402	Joint-optimization-of-electric-bus-infrastructure-plannin_2026_Expert-System.pdf	公交基建+车队+充电时刻联合优化（规划主体，含调度）
暂缓	**		2025	Optimal planning and scheduling for fast-charging electric bus system with distributed photovoltaics	Transportation Research Part D: Transport and Environment	17	10.1016/j.trd.2024.104584	Optimal-planning-and-scheduling-for-fast-char_2025_Transportation-Research-P.pdf	快充公交系统规划与调度，含分布式光伏
暂缓			2026	Planning future charging infrastructure for private EVs: A city-scale assessment of demand and capacity	Advances in Applied Energy	15	10.1016/j.adapen.2025.100258	Planning-future-charging-infrastructure-for-private-EVs-_2026_Advances-in-Ap.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	Multi-phase location and capacity planning of electric-hydrogen charging stations with GCN in coupled power-traffic system	Applied Energy	0	10.1016/j.apenergy.2025.127014	Multi-phase-location-and-capacity-planning-of-electric-hydrogen_2026_Applied.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	A review on electric vehicle charging station planning: Infrastructure placement, sizing, upgrades, and uncertainties	Journal of Energy Storage	11	10.1016/j.est.2025.119325	A-review-on-electric-vehicle-charging-station-planning--In_2026_Journal-of-E.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	Planning equitable on-street residential EV charging infrastructure: Evidence from Dublin City	Journal of Transport Geography	6	10.1016/j.jtrangeo.2025.104473	Planning-equitable-on-street-residential-EV-charging-i_2026_Journal-of-Trans.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	Proximity planning for urban electrification: Walkable access to EV charging infrastructure in Montreal	Journal of Urban Mobility	1	10.1016/j.urbmob.2025.100174	Proximity-planning-for-urban-electrification--Walkable-ac_2026_Journal-of-Ur.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	Understanding malaysian homeowners’ intention to adopt photovoltaic systems for EV charging: An integrated theory of planned behaviour and diffusion of innovation approach	Renewable Energy Focus	4	10.1016/j.ref.2025.100767	Understanding-malaysian-homeowners--intention-to-adopt-photovol_2026_Renewab.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	Multi-period coordinated planning of XFCS in coupled TN-PDN networks: Integrating demand charge reduction and pre-existing infrastructure	eTransportation	1	10.1016/j.etran.2025.100521	Multi-period-coordinated-planning-of-XFCS-in-coupled-TN-PDN-netw_2026_eTrans.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	Distributionally robust optimization configuration of integrated photovoltaic and energy storage in rail transit green energy system	Applied Energy	5	10.1016/j.apenergy.2025.127074	Distributionally-robust-optimization-configuration-of-integrated_2026_Applie.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	A comprehensive framework for the design and evaluation of photovoltaic self-sufficient energy systems in highway service areas	Renewable Energy	5	10.1016/j.renene.2025.123877	A-comprehensive-framework-for-the-design-and-evaluation-of-phot_2026_Renewab.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	Hourly energy demand impacts of battery electric vehicle adoption in Italy: A grid simulation and policy analysis	Renewable Energy Focus	8	10.1016/j.ref.2025.100761	Hourly-energy-demand-impacts-of-battery-electric-vehicle-ad_2026_Renewable-E.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	Advancing sustainable transport: Renewable energy integration in hydrogen refueling stations	Renewable and Sustainable Energy Reviews	20	10.1016/j.rser.2025.116393	Advancing-sustainable-transport--Renewable-energy_2026_Renewable-and-Sustain.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	Sustainability-aligned pathways for energy transition: A review of low-carbon energy network solutions	Renewable and Sustainable Energy Reviews	76	10.1016/j.rser.2025.116428	Sustainability-aligned-pathways-for-energy-transiti_2026_Renewable-and-Susta.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2026	Life cycle approach to optimal placement of electric charging infrastructure with solar photovoltaic integration	Research in Transportation Business &amp; Management	2	10.1016/j.rtbm.2025.101516	Life-cycle-approach-to-optimal-placement-of-elect_2026_Research-in-Transport.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Hesitant bipolar fuzzy set-based decision system for electric vehicle charging station location planning	-		-	Hesitant-bipolar-fuzzy-set-based-decision-system-for_2025_Sustainable-Energy.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Urban electric vehicle infrastructure: Strategic planning for curbside charging	-		10.13012/b2idb-	Urban-electric-vehicle-infrastructure--Strategic-pl_2025_Journal-of-Transpor.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	A tri-level planning strategy for integrated power and transport systems incorporating EV elastic charging behaviors	Applied Energy	5	10.1016/j.apenergy.2025.126207	A-tri-level-planning-strategy-for-integrated-power-and-transpor_2025_Applied.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	A two-stage optimization framework for EV charging station planning considering investment cost and service satisfaction	Applied Energy	11	10.1016/j.apenergy.2025.126911	A-two-stage-optimization-framework-for-EV-charging-station-plan_2025_Applied.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Integrating a spatio-temporal diffusion model with a multi-criteria decision-making approach for optimal planning of electric vehicle charging infrastructure	Applied Energy	9	10.1016/j.apenergy.2025.126160	Integrating-a-spatio-temporal-diffusion-model-with-a-multi-criter_2025_Appli.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Stochastic planning for transition from shopping mall parking lots to electric vehicle charging stations	Applied Energy	20	10.1016/j.apenergy.2024.124894	Stochastic-planning-for-transition-from-shopping-mall-parking-_2025_Applied-.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Bi-level planning of electric vehicle charging stations considering charging demand: A Nash bargaining game approach	Energy	22	10.1016/j.energy.2025.137137	Bi-level-planning-of-electric-vehicle-charging-stations-considering_2025_Ene.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Geodemographic aware electric vehicle charging location planning for equitable placement using Graph Neural Networks: Case study of Scotland metropolitan areas	Energy	15	10.1016/j.energy.2025.135834	Geodemographic-aware-electric-vehicle-charging-location-planning-for_2025_En.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Optimal parking lot retrofit planning for electric vehicle charging station during prolonged load shedding	Energy	6	10.1016/j.energy.2025.135624	Optimal-parking-lot-retrofit-planning-for-electric-vehicle-charging_2025_Ene.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Optimal planning for charging stations within multi-coupled networks considering load-balance effects	Energy	13	10.1016/j.energy.2025.138481	Optimal-planning-for-charging-stations-within-multi-coupled-network_2025_Ene.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Sustainable planning battery electric buses charging station under two decision-making criteria	Journal of Industrial Information Integration	0	10.1016/j.jii.2025.100937	Sustainable-planning-battery-electric-buses-char_2025_Journal-of-Industrial-.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Planning urban EV charging stations with GIS based multi-criteria decision making	Power Electronic Devices and Components	3	10.1016/j.pedc.2025.100132	Planning-urban-EV-charging-stations-with-GIS-bas_2025_Power-Electronic-Devic.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Optimal planning of solar PV-based electric vehicle charging stations empowered by energy storage system: Feasibility and green charge potential	Renewable Energy	23	10.1016/j.renene.2025.123715	Optimal-planning-of-solar-PV-based-electric-vehicle-charging-sta_2025_Renewa.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Bayesian optimization of electric vehicle charging infrastructure location planning: An agent-based simulation approach	Sustainable Cities and Society	7	10.1016/j.scs.2025.106884	Bayesian-optimization-of-electric-vehicle-charging-infra_2025_Sustainable-Ci.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Planning public electric vehicle charging stations to balance efficiency and equality: A case study in Wuhan, China	Sustainable Cities and Society	46	10.1016/j.scs.2025.106314	Planning-public-electric-vehicle-charging-stations-to-ba_2025_Sustainable-Ci.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Strategic planning of charging infrastructure for shared electric vehicles: A multi-phase stochastic approach using reinforcement learning	Sustainable Cities and Society	8	10.1016/j.scs.2025.106850	Strategic-planning-of-charging-infrastructure-for-shared-e_2025_Sustainable-.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Large language model-assisted planning of electric vehicle charging infrastructure with real-world case study	Sustainable Energy Technologies and Assessments	1	10.1016/j.seta.2025.104723	Large-language-model-assisted-planning-of-electri_2025_Sustainable-Energy-Te.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	How important is fast-charging station modelling in distribution grid planning? Global sensitivity analysis of grid investment model output	Sustainable Energy, Grids and Networks	0	10.1016/j.segan.2025.101721	How-important-is-fast-charging-station-modelling-in-dis_2025_Sustainable-Ene.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Optimizing transit service headways and planning activity location with carbon credit charge scheme: An activity-based approach	Transportation Research Part A: Policy and Practice	2	10.1016/j.tra.2025.104397	Optimizing-transit-service-headways-and-planning-a_2025_Transportation-Resea.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Data-driven planning of large-scale electric vehicle charging hubs using deep reinforcement learning	Transportation Research Part C: Emerging Technologies	5	10.1016/j.trc.2025.105126	Data-driven-planning-of-large-scale-electric-v_2025_Transportation-Research-.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Spatiotemporal potential and economic assessment of highway slope-based photovoltaics: A case study in Jiangxi, China	Applied Energy	2	10.1016/j.apenergy.2025.126705	Spatiotemporal-potential-and-economic-assessment-of-highway-slo_2025_Applied.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	A multi-stage stochastic-robust planning approach for highway service area self-contained energy system considering multiple uncertainties	Energy	2	10.1016/j.energy.2025.139189	A-multi-stage-stochastic-robust-planning-approach-for-highway-servic_2025_En.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Sustainable renewable energy integration on expressways in Bangladesh: A techno-economic, environmental, and sensitivity analysis of a grid-connected hybrid system	Energy Conversion and Management: X	8	10.1016/j.ecmx.2025.101020	Sustainable-renewable-energy-integration-on-expressways-in_2025_Energy-Conve.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Decentralized energy solutions: The impact of smart grid-enabled EV charging stations	Heliyon	26	10.1016/j.heliyon.2025.e41815	Decentralized-energy-solutions--The-impact-of-smart-grid-enabled-_2025_Heliy.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Design optimization and ML-based performance prediction of microgrid-hydrogen refueling systems using Gaussian process regression	International Journal of Hydrogen Energy	23	10.1016/j.ijhydene.2025.150382	Design-optimization-and-ML-based-performance-predictio_2025_International-Jo.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Location and capacity planning of hydrogen refueling station in highway network based on hydrogen life cycle cost: Modeling, optimization and case verification	International Journal of Hydrogen Energy	8	10.1016/j.ijhydene.2025.05.250	Location-and-capacity-planning-of-hydrogen-refueling-sta_2025_International-.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Prediction of emission reduction potential and influencing factor driving mechanism of the hydrogen energy industry in the Beijing-Tianjin-Hebei region: Based on a CNN-LSTM-SHAP framework	International Journal of Hydrogen Energy	2	10.1016/j.ijhydene.2025.150716	Prediction-of-emission-reduction-potential-and-influencing_2025_Internationa.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Optimal sizing of grid-tied hybrid solar tracking photovoltaic/hydrogen fuel cell energy systems for electric vehicle charging stations in South Korea: A techno-economic study	Journal of Cleaner Production	32	10.1016/j.jclepro.2024.144511	Optimal-sizing-of-grid-tied-hybrid-solar-tracking-photovoltai_2025_Journal-o.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Enhancing green energy integration through strategic planning of renewable generators, EV parking lots, and stationary battery storage systems	Journal of Energy Storage	10	10.1016/j.est.2025.115639	Enhancing-green-energy-integration-through-strategic-plannin_2025_Journal-of.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Research on site selection decision-making method for wind-photovoltaic-shared energy storage stations considering differentiated linguistic terms from a resilience perspective	Journal of Energy Storage	1	10.1016/j.est.2025.118642	Research-on-site-selection-decision-making-method-for-wind-pho_2025_Journal-.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Optimal planning of solar PV-based electric vehicle charging stations empowered by energy storage system: Feasibility and green charge potential	Renewable Energy	23	10.1016/j.renene.2025.123715	Optimal-planning-of-solar-PV-based-electric-vehicle-charging-sta_2025_Renewa.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Green Hydrogen: Unleashing the Potential for Sustainable Energy Generation	Results in Engineering	99	10.1016/j.rineng.2025.106031	Green-Hydrogen--Unleashing-the-Potential-for-Sustainab_2025_Results-in-Engin.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Optimizing electric vehicle charging infrastructure powered by photovoltaics: A geospatial and multi-criteria analysis for sustainable urban mobility	Results in Engineering	6	10.1016/j.rineng.2025.106456	Optimizing-electric-vehicle-charging-infrastructure-powered-b_2025_Results-i.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Optimized placement of electric vehicle charging stations considering sustainable utility criteria functions: An integrated GIS, MCDM, metaheuristics approach	Sustainable Cities and Society	7	10.1016/j.scs.2025.106895	Optimized-placement-of-electric-vehicle-charging-stations-c_2025_Sustainable.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	Towards solar-energy-assisted electric vehicle charging stations: A literature review on site selection with GIS and MCDM methods	Sustainable Energy Technologies and Assessments	12	10.1016/j.seta.2025.104193	Towards-solar-energy-assisted-electric-vehicle-charg_2025_Sustainable-Energy.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2025	A multi-objective strategic planning of smart energy hubs and hydrogen refueling stations toward net-zero emissions	Sustainable Energy, Grids and Networks	3	10.1016/j.segan.2025.101690	A-multi-objective-strategic-planning-of-smart-energy-_2025_Sustainable-Energ.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	Optimal design of sizing and allocations for highway electric vehicle charging stations based on a PV system	Applied Energy	53	10.1016/j.apenergy.2024.124284	Optimal-design-of-sizing-and-allocations-for-highway-electric-_2024_Applied-.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	Techno-economic optimization and assessment of solar-battery charging station under grid constraints with varying levels of fleet EV penetration	Applied Energy	40	10.1016/j.apenergy.2024.123990	Techno-economic-optimization-and-assessment-of-solar-battery-cha_2024_Applie.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	Capacity optimization of PV and battery storage for EVCS with multi-venues charging behavior difference towards economic targets	Energy	11	10.1016/j.energy.2024.133833	Capacity-optimization-of-PV-and-battery-storage-for-EVCS-with-multi_2024_Ene.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	Design and development of grid independent integrated energy system for electric vehicle charging stations at different locations in Malaysia	Energy	30	10.1016/j.energy.2024.131686	Design-and-development-of-grid-independent-integrated-energy-system-_2024_En.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	Conversion of metro railway into smart charging zero-emission transportation hub for supporting electric train, shuttle bus, cars and public EV charging station	Energy Conversion and Management: X	8	10.1016/j.ecmx.2024.100552	Conversion-of-metro-railway-into-smart-charging-zero-emiss_2024_Energy-Conve.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	Design analysis and techno-economic assessment of a photovoltaic-fed electric vehicle charging station at Dhaka-Mawa expressway in Bangladesh	Energy Conversion and Management: X	14	10.1016/j.ecmx.2024.100737	Design-analysis-and-techno-economic-assessment-of-a-photo_2024_Energy-Conver.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	Strategic deployment of GIS-optimized solar charging stations for electric vehicles: A multi-criteria decision-making approach	Energy Conversion and Management: X	11	10.1016/j.ecmx.2024.100712	Strategic-deployment-of-GIS-optimized-solar-charging-st_2024_Energy-Conversi.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	A planning method for energy storage capacity of highway self-consistent multi-microgrid system considering carbon trading	Journal of Energy Storage	13	10.1016/j.est.2024.113616	A-planning-method-for-energy-storage-capacity-of-highway-se_2024_Journal-of-.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	Modeling and simulation of photovoltaic powered battery-supercapacitor hybrid energy storage system for electric vehicles	Journal of Energy Storage	98	10.1016/j.est.2023.110324	Modeling-and-simulation-of-photovoltaic-powered-battery-sup_2024_Journal-of-.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	Available solar resources and photovoltaic system planning strategy for highway	Renewable and Sustainable Energy Reviews	62	10.1016/j.rser.2024.114765	Available-solar-resources-and-photovoltaic-syst_2024_Renewable-and-Sustainab.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2024	European transport infrastructure as a solar photovoltaic energy hub	Renewable and Sustainable Energy Reviews	38	10.1016/j.rser.2024.114344	European-transport-infrastructure-as-a-solar-_2024_Renewable-and-Sustainable.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2023	(无标题)	-		-	Optimal-Configuration-of-Self-Consistent-Microgrid-System-wit_2023_IFAC-Pape.pdf	规划/选址定容/综述/评估类，非当前两个重点
暂缓			2023	Co-planning of hydrogen-based microgrids and fuel-cell bus operation centers under low-carbon and resilience considerations	Applied Energy	65	10.1016/j.apenergy.2023.120849	Co-planning-of-hydrogen-based-microgrids-and-fuel-cell-bus-oper_2023_Applied.pdf	规划/选址定容/综述/评估类，非当前两个重点
